wp,name,location,type,state,size,difficulty,terrain,favorites,hidden,author,attributes,mx,my
GC75WHZ,Retencni nadrz - Cerveny mlyn (ver.2),"49 13m 1.092s N, 16 36m 15.408s E",traditional,True,small,2.0,2.5,5,2017-05-19,Battos,"{'available': True, 'stealth': True, 'parking': True}",0.5848500000000225,0.49767741935483495
GC6H39R,Brno - Husovice,"49 12m 42.66s N, 16 37m 52.932s E",traditional,True,micro,2.0,1.5,17,2016-06-05,ok2apy,"{'food': True, 'winter': True, 'available': True, 'phone': True, 'public': True, 'parking': True, 'stealth': True}",0.5592499999999964,0.5850645161290317
GC269BW,Park Marie Restituty Kafkove,"49 12m 49.32s N, 16 37m 42.06s E",traditional,True,micro,2.0,2.0,28,2012-11-17,OK2APY - adoptováno od Almavíma,"{'dogs': True, 'kids': True, 'onehour': True, 'available': True, 'public': True, 'bicycles': True, 'stealth': True, 'touristok': True}",0.5685000000000194,0.5753225806451628
GC7QMMT,Smírčí kámen - Minská,"49 12m 37.152s N, 16 35m 12.912s E",mystery,True,other,2.5,1.0,14,2018-06-03,Sólista,"{'kids': True, 'onehour': True, 'available': True, 'winter': True, 'wheelchair': True, 'parking': True, 'phone': True, 'stealth': True, 'stroller': True, 'hike_short': True, 'food': True}",0.5516000000000194,0.44167741935483523
GC4YJXP,Pamatnik - Rokycanka,"49 12m 3.168s N, 16 38m 24.072s E",mystery,True,micro,3.0,1.5,0,2014-02-15,Ginosadzi + Gasman85,"{'dogs': True, 'onehour': True, 'available': True, 'night': True, 'winter': True, 'public': True, 'bicycles': True, 'stealth': True, 'stroller': True, 'field_puzzle': True, 'firstaid': True}",0.5043999999999934,0.6129677419354811
GC83HGF,Jan Babák,"49 12m 48.06s N, 16 35m 27.528s E",traditional,True,micro,1.0,1.5,0,2019-02-15,sadafa,"{'bicycles': True, 'winter': True, 'available': True, 'public': True, 'stealth': True, 'kids': True, 'stroller': True}",0.5667499999999969,0.454774193548392
GC4YGNX,Památník - Karas,"49 11m 51.18s N, 16 38m 25.08s E",mystery,True,small,4.0,2.0,0,2014-03-07,"ReZ_BMHD (Matalovi, Ginosadzi, Gasman85)","{'dogs': True, 'available': True, 'winter': True, 'phone': True, 'picnic': True, 'bicycles': True, 'stealth': True, 'stroller': True, 'field_puzzle': True, 'parkngrab': True, 'hike_short': True, 'touristok': True, 'teamwork': True}",0.4877500000000016,0.6138709677419328
GC4VKM5,Pozorovatelna,"49 10m 59.7s N, 16 35m 29.652s E",traditional,True,small,2.5,4.0,113,2014-02-14,Stumba,"{'winter': False, 'kids': False, 'stroller': False, 'dogs': False, 'flashlight': True, 'ticks': True, 'hike_short': True, 'abandonedbuilding': True, 'available': True, 'climbing': True, 'scenic': True, 'onehour': True, 'thorn': True}",0.4162500000000069,0.4566774193548403
GC2P0P3,Jaroslav Foglar,"49 10m 55.74s N, 16 35m 36.06s E",mystery,True,small,2.5,2.0,167,2011-02-19,jeskynar1,"{'kids': True, 'available': True, 'dogs': True, 'onehour': True}",0.41075000000000184,0.4624193548387116
GC22RXZ,Brnenska mesita / Brno Mosque,"49 10m 54.66s N, 16 35m 37.932s E",traditional,True,other,4.0,1.0,36,2010-01-08,black777jack,"{'dogs': True, 'onehour': True, 'winter': True, 'wheelchair': True, 'parking': True, 'bicycles': True, 'motorcycles': True, 'stroller': True}",0.4092499999999875,0.46409677419354406
GC84KJQ,Kačerský poplk 2019 - Květen,"49 12m 7.488s N, 16 38m 26.232s E",event,True,other,1.0,1.0,0,2019-05-01,ok2apy,"{'wheelchair': True, 'water': True, 'restrooms': True, 'food': True}",0.5104000000000151,0.6149032258064443
GC24YBV,Curiosity shop,"49 13m 4.188s N, 16 36m 7.38s E",mystery,True,regular,3.0,2.0,15,2010-03-12,hadica + black777jack,"{'dogs': True, 'kids': True, 'onehour': True, 'available': True, 'bicycles': True, 'firstaid': True}",0.589150000000002,0.49048387096773555
GC854NG,Kačerský poplk 2019 - Červen,"49 12m 7.452s N, 16 38m 26.16s E",event,True,other,1.0,1.0,0,2019-06-05,ok2apy,"{'wheelchair': True, 'water': True, 'food': True}",0.5103499999999992,0.6148387096774145
GC2N3JD,Bohuslav Fuchs,"49 11m 40.668s N, 16 34m 48.432s E",traditional,True,small,2.0,1.5,83,2011-01-30,jeskynar1,"{'dogs': True, 'kids': True, 'onehour': True, 'available': True, 'parking': True, 'bicycles': True, 'stroller': True, 'firstaid': True}",0.47314999999998564,0.41974193548387295
GC4BFWP,Ticha posta,"49 10m 44.472s N, 16 36m 9.612s E",mystery,True,large,2.0,3.0,202,2014-04-16,Mofos010,"{'wheelchair': False, 'stroller': False, 'dogs': True, 'kids': True, 'scenic': True, 'available': True, 'winter': True, 'dangerousanimals': True, 'ticks': True, 'parking': True, 'bicycles': True, 'thorn': True}",0.3951000000000078,0.49248387096774005
GC48DTQ,Kamenacek pestry,"49 11m 1.14s N, 16 35m 21.948s E",multicache,True,small,4.0,2.0,100,2013-03-26,tomarctus,"{'night': False, 'wheelchair': False, 'nightcache': False, 'bicycles': True, 'available': True, 'kids': True, 'stealth': True, 'dogs': True, 'abandonedbuilding': True}",0.4182500000000023,0.4497741935483865
GC83BTF,日本 trip - departure,"49 13m 0.12s N, 16 37m 27.66s E",event,True,other,1.0,1.5,0,2019-03-25,Laura,"{'treeclimbing': False, 'touristok': True, 'winter': True, 'dogs': True}",0.5835000000000203,0.562419354838707
GC84FPF,BBC&A - Codyjack 11,"49 13m 6.96s N, 16 36m 13.752s E",mystery,True,small,5.0,5.0,13,2019-03-08,Bandolerko,"{'available': True, 'winter': True, 'treeclimbing': True, 'rappelling': True, 'dogs': True}",0.5930000000000162,0.4961935483870919
GC84FPG,BBC&A - Anmion 2015,"49 13m 6.96s N, 16 36m 12.528s E",mystery,True,large,5.0,4.0,6,2019-03-08,Bandolerko,"{'available': True, 'winter': True, 'thorn': True, 'dogs': True, 'stealth': True}",0.5930000000000162,0.4950967741935507
GC4FMPY,Kounicovy koleje / Kounic Student Residence Hall,"49 12m 30.528s N, 16 34m 58.368s E",multicache,True,other,2.0,2.5,25,2013-07-05,puczmeloun,"{'available': True, 'touristok': True, 'onehour': True, 'stealth': True, 'thorn': True, 'hike_short': True}",0.5424000000000122,0.42864516129031976
GC4EM25,FILMOVKA,"49 12m 35.1s N, 16 35m 0.888s E",mystery,True,regular,2.0,2.0,223,2013-07-02,PALROS,"{'available': True, 'ticks': True, 'bicycles': True, 'thorn': True, 'firstaid': True}",0.5487500000000028,0.430903225806455
GC26CPX,Magic,"49 12m 40.32s N, 16 35m 5.712s E",mystery,True,regular,4.0,4.0,18,2010-04-27,JacG,"{'stroller': True, 'winter': True, 'night': True, 'available': True, 'climbing': True, 'onehour': True, 'stealth': True}",0.555999999999995,0.4352258064516131
GC83XR6,SPU,"49 10m 39.972s N, 16 36m 11.088s E",traditional,True,small,1.5,1.5,2,2019-02-23,sadafa,"{'dogs': True, 'kids': True, 'available': True, 'winter': True, 'bicycles': True, 'motorcycles': True, 'parking': True, 'public': True, 'stroller': True, 'stealth': True, 'fuel': True, 'food': True}",0.3888500000000133,0.4938064516128971
GC5JJ7N,Židovský hřbitov,"49 11m 28.968s N, 16 38m 28.86s E",traditional,True,micro,1.0,1.0,3,2015-01-01,Duck Brno CZ > Battos > Matalovi,"{'bicycles': True, 'winter': True, 'available': True, 'public': True, 'wheelchair': True, 'stealth': True, 'stroller': True, 'dogs': True}",0.45690000000001424,0.6172580645161242
GC4RXXJ,ZS Sirotkova,"49 12m 36.54s N, 16 34m 56.208s E",mystery,True,regular,2.5,3.0,27,2014-06-09,ondras.371,"{'bicycles': False, 'motorcycles': False, 'quads': False, 'jeeps': False, 'snowmobiles': False, 'horses': False, 'campfires': False, 'dogs': True, 'onehour': True, 'available': True, 'hike_short': True}",0.5507499999999983,0.42670967741935656
GC18Z57,BVV,"49 11m 15.54s N, 16 34m 53.94s E",mystery,True,regular,2.5,1.5,24,2008-02-04,patrac,"{'bicycles': True, 'stealth': True, 'available': True, 'stroller': True, 'kids': True, 'motorcycles': True, 'hike_short': True, 'fee': True}",0.4382499999999916,0.42467741935483716
GC586ER,Prirodni zahrada na Lipove,"49 11m 39.408s N, 16 34m 39.108s E",traditional,True,small,1.0,1.5,178,2014-07-04,Lipka & katka007,"{'available': True, 'touristok': True, 'firstaid': True, 'stroller': True, 'stealth': True, 'kids': True}",0.47139999999999854,0.411387096774191
GC24BFC,"Halirova kes, aneb vstupni brana","49 12m 30.96s N, 16 34m 46.92s E",multicache,True,small,3.5,3.0,18,2010-02-26,M1SA,"{'winter': False, 'dogs': True, 'onehour': True, 'available': True, 'picnic': True, 'bicycles': True}",0.5429999999999895,0.4183870967741895
GC1WMVA,Ondatra,"49 10m 49.08s N, 16 37m 50.88s E",traditional,True,small,3.0,2.0,62,2009-07-29,tomarctus,"{'wheelchair': False, 'dogs': True, 'kids': True, 'onehour': True, 'available': True, 'winter': True, 'bicycles': True, 'stroller': True, 'firstaid': True}",0.4015000000000143,0.5832258064516131
GC2W9X4,AZ TOWER - nejvyssi budova v CR,"49 10m 34.032s N, 16 36m 22.68s E",traditional,True,micro,1.5,1.5,22,2011-05-15,Caskovi  (adoptováno od Schvon_CZ),"{'dogs': True, 'onehour': True, 'available': True, 'parking': True, 'public': True, 'bicycles': True, 'motorcycles': True, 'quads': True, 'jeeps': True, 'stealth': True, 'stroller': True, 'parkngrab': True, 'fuel': True, 'food': True}",0.38059999999998795,0.5041935483870984
GC2NAAQ,Barvicky / The Colours,"49 12m 4.068s N, 16 34m 32.268s E",mystery,True,small,3.0,2.5,4,2011-02-03,MART!N (adopted from ok.sido's Team),"{'bicycles': True, 'available': True, 'firstaid': True, 'public': True, 'scenic': True, 'onehour': True, 'stealth': True, 'dogs': True}",0.5056499999999994,0.40525806451612933
GC2WXXR,Psychiatricka,"49 11m 4.992s N, 16 38m 17.52s E",multicache,True,micro,2.0,1.0,9,2011-05-25,Mirusák,"{'bicycles': False, 'dogs': False, 'food': True, 'hike_short': True, 'hiking': True, 'firstaid': True, 'wheelchair': True, 'kids': True, 'stroller': True}",0.42359999999999526,0.6070967741935501
GC76Y1R,Covfefe,"49 10m 32.952s N, 16 36m 20.628s E",mystery,True,micro,3.0,1.5,23,2017-06-08,Lugia010719d1,"{'kids': False, 'night': False, 'winter': False, 'onehour': True, 'parking': True, 'public': True, 'bicycles': True, 'stealth': True}",0.3791000000000092,0.5023548387096799
GCPDFW,Husak/ Husovice hill,"49 12m 54s N, 16 38m 5.64s E",traditional,True,micro,3.0,2.0,37,2005-06-22,adopted by Olii05,"{'motorcycles': False, 'quads': False, 'jeeps': False, 'dogs': True, 'kids': True, 'onehour': True, 'available': True, 'bicycles': True}",0.5750000000000222,0.5964516129032296
GCRJ83,Stone colony / Kamenna kolonie,"49 10m 57.828s N, 16 35m 5.568s E",traditional,True,small,2.0,4.0,76,2005-12-04,"2opice, adopted by kryserka","{'dogs': True, 'onehour': True, 'scenic': True, 'winter': True, 'cliff': True, 'bicycles': True}",0.4136499999999987,0.435096774193542
GC13QMX,Wilsonuv les,"49 12m 5.76s N, 16 34m 31.62s E",multicache,True,regular,1.5,3.0,13,2007-06-23,M1SA,"{'dogs': True, 'scenic': True, 'available': True, 'bicycles': True, 'firstaid': True}",0.5079999999999993,0.4046774193548381
GC6K9Y8,HUDEBNI MIX 4,"49 13m 0.012s N, 16 35m 18.888s E",mystery,True,small,2.5,2.0,232,2016-06-07,valdinci,"{'dogs': True, 'available': True, 'winter': True, 'public': True}",0.5833500000000083,0.4470322580645162
GC585A8,Svatoplukova kasarna - Brno Zidenice,"49 12m 26.82s N, 16 38m 34.908s E",mystery,True,small,2.5,2.0,31,2014-08-07,Battos,"{'available': True, 'winter': True, 'public': True, 'thorn': True, 'stealth': True, 'hike_short': True}",0.5372500000000117,0.622677419354835
GC3EE0R,Vila Stiassni,"49 11m 51.108s N, 16 34m 29.46s E",traditional,True,small,2.5,1.5,5,2012-03-16,dave_max,"{'poisonoak': False, 'snowmobiles': False, 'campfires': False, 'dogs': True, 'kids': True, 'onehour': True, 'available': True, 'parking': True, 'bicycles': True, 'motorcycles': True, 'quads': True, 'jeeps': True, 'horses': True}",0.4876500000000054,0.4027419354838749
GC5CX4R,Sv. Cyril a Metoděj / Sts. Cyril and Methodius,"49 11m 54.6s N, 16 38m 46.032s E",multicache,True,micro,2.0,2.0,54,2015-05-23,puczmeloun,"{'night': False, 'bicycles': True, 'touristok': True, 'public': True, 'onehour': True, 'stealth': True, 'hike_short': True, 'dogs': True}",0.4925000000000173,0.6326451612903196
GC7108R,Kralovopolsky tunel,"49 13m 15.888s N, 16 35m 59.928s E",mystery,True,other,3.5,1.0,80,2017-03-21,pts14,"{'snowmobiles': False, 'dogs': True, 'kids': True, 'available': True, 'winter': True, 'wheelchair': True, 'parking': True, 'public': True, 'bicycles': True, 'thorn': True, 'stealth': True, 'stroller': True}",0.6054000000000088,0.48380645161289754
GC1J7JG,Domovy slavnych - Brno,"49 12m 11.34s N, 16 38m 44.772s E",multicache,True,small,3.0,2.0,11,2008-11-17,Dudlyk,"{'night': False, 'motorcycles': False, 'jeeps': False, 'snowmobiles': False, 'horses': False, 'dogs': True, 'scenic': True, 'available': True, 'bicycles': True, 'firstaid': True}",0.515750000000008,0.631516129032252
GC24BFE,Skutecne Kriminalni pripady,"49 12m 38.52s N, 16 34m 44.868s E",mystery,True,regular,3.0,3.0,81,2010-02-26,M1SA,"{'winter': False, 'available': True, 'public': True, 'parking': True, 'onehour': True, 'dogs': True, 'picnic': True}",0.5535000000000185,0.41654838709677106
GC1DDHF,Ztracena ulicka,"49 12m 11.88s N, 16 38m 46.32s E",mystery,True,micro,2.0,1.5,30,2008-06-25,dblackos & Tomus,"{'stroller': False, 'bicycles': True, 'winter': True, 'available': True, 'public': True, 'scenic': True, 'onehour': True, 'stealth': True, 'parking': True, 'dogs': True}",0.5164999999999974,0.6329032258064503
GC5NW3Q,Jurkovicova vila Brno,"49 12m 23.292s N, 16 34m 33.312s E",multicache,True,small,2.0,3.0,106,2015-03-08,valdinci,"{'dogs': True, 'available': True}",0.5323500000000194,0.40619354838709604
GC2GVR7,Husovicky most  #2,"49 12m 45.648s N, 16 38m 26.232s E",traditional,True,micro,1.5,1.0,72,2010-10-17,anvy,"{'dogs': True, 'kids': True, 'onehour': True, 'available': True, 'winter': True, 'wheelchair': True, 'parking': True, 'public': True, 'bicycles': True, 'stroller': True}",0.5633999999999992,0.6149032258064443
GC1ZZVF,"Gracjan - Lody, lody, lody","49 11m 1.788s N, 16 38m 24s E",mystery,True,micro,3.5,2.0,10,2014-03-10,Arne1,"{'wheelchair': False, 'stroller': True, 'thorn': True, 'parkngrab': True, 'winter': True}",0.41915000000000374,0.6129032258064513
GC6ZGNB,Kostel Sv. Jilji,"49 10m 33.132s N, 16 37m 26.292s E",multicache,True,micro,1.5,1.5,5,2017-01-11,Duck Brno CZ,"{'onehour': True, 'available': True, 'parking': True, 'public': True, 'stealth': True, 'firstaid': True}",0.3793500000000175,0.5611935483870947
GC785RY,Pisecnik,"49 13m 10.848s N, 16 37m 45.768s E",mystery,True,small,2.5,1.0,56,2017-07-14,Alili65,"{'night': False, 'bicycles': True, 'available': True, 'hike_short': True, 'wheelchair': True, 'kids': True, 'stroller': True, 'dogs': True}",0.5983999999999895,0.5786451612903244
GC44KDT,Kaple sv. Vaclava,"49 12m 43.812s N, 16 34m 43.968s E",traditional,True,micro,1.5,1.0,3,2013-01-19,Sólista,"{'dogs': True, 'kids': True, 'winter': True, 'wheelchair': True, 'parking': True, 'public': True, 'phone': True, 'bicycles': True, 'motorcycles': True, 'stroller': True, 'food': True, 'firstaid': True}",0.560850000000007,0.41574193548387545
GC54FRJ,U výhledu na Petrov,"49 12m 6.48s N, 16 38m 53.052s E",traditional,True,regular,3.0,4.0,5,2014-06-20,TEHO74,"{'wheelchair': False, 'parkngrab': False, 'kids': False, 'bicycles': True, 'teamwork': True, 'treeclimbing': True, 'touristok': True, 'ticks': True, 'available': True, 'onehour': True, 'firstaid': True, 'thorn': True, 'dogs': True}",0.508999999999997,0.6389354838709672
GCNFHK,Dapeho skrebl / Dape´s scrabble,"49 11m 22.128s N, 16 34m 30.252s E",mystery,True,small,3.5,3.5,40,2005-04-13,Dape team adopted by Maris4,"{'wheelchair': False, 'winter': False, 'kids': False, 'available': True, 'scenic': True, 'onehour': True, 'hike_med': True, 'cliff': True, 'dogs': True}",0.44740000000001845,0.40345161290322573
GC7EEGQ,VMO Provaznikova -  Karlova,"49 12m 41.508s N, 16 38m 33.9s E",mystery,True,micro,2.0,1.5,1,2017-11-04,Battos,"{'wheelchair': False, 'available': True, 'parking': True, 'stealth': True, 'stroller': True, 'firstaid': True}",0.5576500000000214,0.6217741935483831
GCYD8D,Brnenska nadrazi: zastavka Lesna,"49 13m 13.908s N, 16 37m 42.708s E",multicache,True,micro,2.5,2.0,6,2006-09-19,darkMS,"{'climbing': False, 'poisonoak': False, 'wheelchair': False, 'dogs': True, 'onehour': True, 'available': True, 'winter': True, 'public': True, 'stealth': True}",0.6026499999999886,0.575903225806454
GC1A1X1,Mahenova stran,"49 10m 53.148s N, 16 34m 55.848s E",multicache,True,small,1.5,2.5,19,2008-03-09,kryserka,"{'wheelchair': False, 'available': True, 'firstaid': True, 'scenic': True, 'kids': True, 'dogs': True}",0.4071499999999959,0.42638709677419606
GC6M35C,Soví alej / Owl alley,"49 12m 5.832s N, 16 38m 55.428s E",letterbox,True,regular,2.0,2.0,70,2018-04-06,puczmeloun,"{'night': False, 'scenic': True, 'onehour': True, 'kids': True, 'hike_short': True, 'dogs': True}",0.5080999999999956,0.6410645161290314
GC5Z89R,Vikendove lusteni,"49 12m 25.632s N, 16 34m 25.608s E",mystery,True,regular,3.0,4.0,29,2016-08-17,LTD Team,"{'teamwork': True, 'available': True, 'public': True, 'parking': True, 'onehour': True, 'stealth': True, 'hike_short': True}",0.5356000000000208,0.39929032258064223
GC1H2MA,Dolnopolni,"49 12m 50.76s N, 16 38m 28.392s E",traditional,True,micro,1.5,2.0,3,2009-10-10,sharkiacs,"{'dogs': True, 'available': True, 'winter': True, 'parking': True, 'bicycles': True, 'stealth': True, 'stroller': True}",0.5705000000000149,0.6168387096774189
GC5RG1Z,Sobesicka,"49 13m 6.492s N, 16 38m 4.848s E",traditional,True,micro,2.0,1.5,42,2015-04-19,honzi,"{'available': True, 'stroller': True}",0.592350000000023,0.5957419354838672
GC15J3Y,Svratecky nahon 3 - Baueruv cukrovar,"49 11m 2.148s N, 16 34m 41.592s E",traditional,True,micro,2.0,1.5,0,2007-09-01,"l3mur, adopted by vulpo","{'bicycles': True, 'winter': True, 'available': True, 'firstaid': True, 'public': True, 'parking': True, 'onehour': True, 'stroller': True, 'dogs': True}",0.4196499999999848,0.4136129032258113
GC8422H,Creation Celebrations - Karneval kreativity,"49 13m 10.74s N, 16 37m 57.648s E",event,True,other,1.0,1.5,0,2019-03-28,Alili65,"{'bicycles': True, 'teamwork': True, 'phone': True, 'restrooms': True, 'water': True, 'public': True, 'food': True, 'wheelchair': True, 'kids': True, 'campfires': True, 'horses': True, 'stroller': True}",0.5982500000000129,0.589290322580645
GC4TQ7G,Židenice - Juliánov,"49 11m 45.888s N, 16 38m 58.668s E",mystery,True,regular,3.0,2.0,27,2013-11-27,"ReZ_BMHD (adoptováno od Matalovi, hori14)","{'treeclimbing': False, 'wheelchair': False, 'winter': False, 'available': False, 'hike_med': True, 'bicycles': True, 'phone': True, 'public': True, 'parking': True, 'food': True, 'ticks': True, 'onehour': True, 'stroller': True, 'stealth': True, 'thorn': True, 'dogs': True}",0.48040000000001326,0.6439677419354762
GC6CR2Z,Husuv sbor v Kralove Poli,"49 13m 18.12s N, 16 35m 30.768s E",traditional,True,micro,2.0,1.5,3,2016-03-06,chrochtato,"{'dogs': True, 'onehour': True, 'available': True, 'night': True, 'winter': True, 'parking': True, 'public': True, 'phone': True, 'bicycles': True, 'motorcycles': True, 'stroller': True, 'touristok': True}",0.6084999999999982,0.4576774193548368
GC34C02,Geohashing v Brne I,"49 10m 47.82s N, 16 34m 56.388s E",mystery,True,micro,3.5,1.5,52,2011-09-18,Bohusz,"{'winter': False, 'dogs': True, 'onehour': True, 'available': True, 'night': True, 'parking': True, 'public': True, 'bicycles': True, 'motorcycles': True, 'stealth': True}",0.3997499999999917,0.4268709677419311
GC3AWF7,Kosticky pro deti od 4 let,"49 13m 19.2s N, 16 37m 43.212s E",mystery,True,small,3.0,2.5,124,2012-01-21,nesvadbici,"{'motorcycles': False, 'quads': False, 'jeeps': False, 'dogs': True, 'kids': True, 'available': True, 'ticks': True, 'thorn': True}",0.6100000000000124,0.5763548387096743
GC7E5EJ,Divisova ctvrt,"49 13m 29.64s N, 16 36m 48.852s E",traditional,True,micro,1.0,1.5,3,2017-12-10,tom.manasek,"{'kids': True, 'onehour': True, 'available': True, 'parking': True, 'stroller': True, 'parkngrab': True, 'food': True}",0.6244999999999967,0.5276451612903187
GC2YBG0,Pramen sv. Floriana / St. Florian's spring,"49 10m 37.488s N, 16 38m 3.3s E",multicache,True,small,2.0,1.5,35,2011-06-16,puczmeloun,"{'winter': False, 'water': False, 'bicycles': True, 'available': True, 'stealth': True, 'onehour': True, 'kids': True, 'dogs': True}",0.385399999999984,0.5943548387096803
GC5PCQW,Hasicska Brno #1 - PS BVV,"49 11m 5.1s N, 16 34m 32.232s E",traditional,True,micro,1.0,2.0,4,2015-03-14,B.mk & Mr.snome,"{'dogs': True, 'onehour': True, 'available': True, 'night': True, 'winter': True, 'parking': True, 'public': True, 'stealth': True, 'stroller': True, 'touristok': True}",0.42375000000000734,0.40522580645161443
GC214NJ,Tunel Vinohrady,"49 12m 29.448s N, 16 38m 55.392s E",traditional,True,small,2.0,2.0,8,2009-11-18,standakor,"{'dogs': True, 'onehour': True, 'scenic': True, 'available': True, 'winter': True, 'parking': True, 'public': True, 'bicycles': True}",0.5408999999999979,0.6410322580645165
GC5855V,145 let mhd brno,"49 11m 36.708s N, 16 34m 11.712s E",multicache,True,micro,1.5,1.5,2,2014-07-21,Pomejanci,"{'onehour': False, 'wheelchair': False, 'dogs': True, 'available': True, 'winter': True, 'public': True, 'bicycles': True, 'hike_med': True}",0.4676500000000161,0.386838709677418
GCV987,Hydrovrt - Water bore,"49 12m 40.932s N, 16 34m 26.148s E",traditional,True,small,2.5,1.0,4,2006-04-07,maros251,"{'stealth': True, 'bicycles': True, 'available': True, 'water': True, 'firstaid': True, 'wheelchair': True, 'kids': True, 'dogs': True}",0.5568500000000162,0.3997741935483888
GC2JHZ2,Stromoradi Brafova,"49 12m 27.18s N, 16 34m 16.608s E",traditional,True,micro,1.0,1.5,1,2010-12-10,ArmyAnts,"{'wheelchair': False, 'dogs': True, 'onehour': True, 'available': True, 'winter': True, 'public': True, 'bicycles': True, 'motorcycles': True, 'stealth': True, 'stroller': True}",0.5377499999999927,0.39122580645161736
GC2DZT1,Blackburnova lecka,"49 13m 25.248s N, 16 35m 41.1s E",mystery,True,small,4.0,3.0,28,2010-09-07,korys,"{'dogs': True, 'available': True, 'winter': True, 'bicycles': True, 'horses': True, 'field_puzzle': True}",0.6184000000000144,0.46693548387097056
GC2RKWM,VEN,"49 13m 29.748s N, 16 36m 1.692s E",mystery,True,micro,4.5,3.5,16,2011-04-06,safarici,"{'bicycles': True, 'available': True, 'public': True, 'parking': True, 'stroller': True, 'dogs': True}",0.6246500000000088,0.4853870967741968
GC2ZCXE,Wiener Gasse,"49 10m 22.152s N, 16 35m 48.84s E",mystery,True,micro,2.5,3.0,20,2011-07-03,Schvon_CZ,"{'dogs': True, 'kids': True, 'onehour': True, 'available': True, 'parking': True, 'public': True, 'bicycles': True, 'stealth': True, 'stroller': True, 'food': True}",0.3641000000000083,0.47387096774193926
GC6VGCF,Coordinates,"49 13m 18.552s N, 16 37m 55.2s E",mystery,True,micro,3.5,2.5,10,2016-10-14,Duck Brno CZ,"{'stroller': False, 'available': True, 'thorn': True, 'stealth': True}",0.609100000000011,0.587096774193551
GC6T5B9,Cementarna  Malomerice,"49 12m 52.992s N, 16 38m 38.868s E",multicache,True,small,2.0,2.0,24,2016-09-17,Battos,"{'winter': False, 'night': False, 'available': False, 'bicycles': True, 'thorn': True, 'scenic': True, 'stealth': True, 'hike_med': True, 'kids': True, 'dogs': True}",0.5736000000000041,0.6262258064516123
GC1FAXT,Nad Rekou,"49 12m 2.052s N, 16 34m 6.06s E",traditional,True,small,2.0,3.0,15,2008-08-17,Kobein,"{'wheelchair': False, 'dogs': True, 'onehour': True}",0.5028499999999988,0.3817741935483827
GC48DHZ,Tady je houby videt,"49 10m 52.032s N, 16 34m 38.568s E",mystery,True,micro,2.0,3.0,36,2013-03-26,Sheronka,"{'wheelchair': False, 'stroller': False, 'dogs': True, 'kids': True, 'onehour': True, 'available': True, 'winter': True, 'ticks': True, 'bicycles': True, 'hike_short': True, 'firstaid': True}",0.4056000000000013,0.41090322580645594
GC1GJ3D,Red hill,"49 10m 32.988s N, 16 35m 9.312s E",earthcache,True,not_chosen,1.0,2.0,14,2008-09-23,maros251,"{'wheelchair': False, 'scenic': True, 'danger': True, 'available': True, 'dogs': True}",0.37914999999998955,0.43845161290322987
GC15FDF,Svratecky nahon 1 - Kamenny mlyn,"49 11m 54.672s N, 16 34m 3.468s E",traditional,True,micro,1.5,1.0,1,2007-08-27,"l3mur, adopted by vulpo","{'wheelchair': True, 'bicycles': True, 'winter': True, 'firstaid': True, 'onehour': True, 'stroller': True, 'dogs': True}",0.4926000000000135,0.37945161290322915
GC4MF0W,Mahenka v Malomericich,"49 12m 55.98s N, 16 38m 39.372s E",mystery,True,small,2.5,1.0,9,2013-09-17,Parisee,"{'winter': True, 'frontyard': True, 'public': True, 'firstaid': True, 'wheelchair': True, 'stealth': True, 'kids': True, 'stroller': True}",0.577750000000007,0.6266774193548325
GC2MT14,Jizansky dvorek,"49 10m 15.888s N, 16 37m 7.788s E",traditional,True,small,2.0,1.5,40,2011-01-23,PepecZ,"{'stealth': True, 'bicycles': True, 'night': True, 'available': True, 'firstaid': True, 'onehour': True, 'kids': True, 'picnic': True, 'dogs': True}",0.3554000000000177,0.5446129032258018
GC84FP0,5B,"49 11m 39.552s N, 16 34m 4.548s E",mystery,True,regular,5.0,5.0,5,2019-03-08,Bandolerko,"{'winter': True, 'treeclimbing': True, 'available': True, 'thorn': True, 'cliff': True, 'rappelling': True, 'dogs': True, 's-tool': True}",0.47159999999999097,0.38041935483871075
GC7N09A,Za humny je drak (po treti),"49 13m 10.632s N, 16 38m 19.932s E",mystery,True,micro,5.0,2.5,16,2018-04-13,Lugia010719d1,"{'winter': False, 'night': False, 'scenic': True, 'ticks': True, 'dogs': True}",0.5981000000000009,0.6092580645161292
GC7PDWE,Tomáš - TB/CWG hotel,"49 13m 34.032s N, 16 37m 7.248s E",multicache,True,regular,2.0,1.5,43,2018-05-09,Pir@t,"{'night': False, 'public': True, 'stroller': True, 'kids': True, 'hike_med': True, 'frontyard': True}",0.6306000000000146,0.5441290322580667
GC2XDWH,Adam Bernau,"49 12m 41.472s N, 16 34m 20.1s E",mystery,True,micro,2.5,1.5,53,2011-06-02,StuntJ adoptovano od: Schvon_CZ,"{'night': False, 'jeeps': True, 'motorcycles': True, 'bicycles': True, 'public': True, 'parking': True, 'food': True, 'parkngrab': True, 'available': True, 'onehour': True, 'kids': True, 'stealth': True, 'thorn': True, 'dogs': True}",0.5576000000000055,0.394354838709678
